A	B	DA	DB	R	ID	PA	PB
90	100	0	365	0	5	1	1
85	100	0	365	0	5	1	1
55	100	0	1825	1	5	1	1
70	100	0	1825	1	5	1	1
65	100	0	1825	1	5	1	1
95	100	0	1825	0	5	1	1
85	100	0	1825	1	5	1	1
75	100	0	1825	1	5	1	1
90	100	0	1825	0	5	1	1
225	500	0	1825	1	5	1	1
80	100	0	1825	1	5	1	1
60	100	0	1825	1	5	1	1
95	100	0	7	1	5	1	1
9500	10000	0	1825	1	5	1	1
5	100	0	1825	1	5	1	1
10	100	0	1825	1	5	1	1
15	100	0	1825	1	5	1	1
95	100	0	1825	0	5	1	1
85	100	0	1825	1	5	1	1
75	100	0	1825	1	5	1	1
9000	10000	0	365	0	6	1	1
375	10000	0	7	1	6	1	1
45	100	0	7	0	6	1	1
5000	10000	0	30	0	6	1	1
50	500	0	7	1	6	1	1
275	500	0	7	0	6	1	1
900	10000	0	21	1	6	1	1
15	100	0	7	1	6	1	1
225	1000	0	7	1	6	1	1
700	10000	0	90	1	6	1	1
10	100	0	30	1	6	1	1
6500	10000	0	7	0	6	1	1
800	10000	0	90	1	6	1	1
425	1000	0	7	0	6	1	1
350	1000	0	7	1	6	1	1
400	1000	0	7	1	6	1	1
450	1000	0	7	0	6	1	1
5000	10000	0	7	0	6	1	1
2500	10000	0	21	1	6	1	1
3500	10000	0	14	1	6	1	1
6000	10000	0	7	0	6	1	1
2500	10000	0	30	1	6	1	1
200	1000	0	21	1	6	1	1
275	1000	0	14	1	6	1	1
550	1000	0	7	1	6	1	1
475	1000	0	14	1	6	1	1
475	1000	0	21	1	6	1	1
500	1000	0	21	0	6	1	1
550	1000	0	14	1	6	1	1
425	1000	0	30	1	6	1	1
425	1000	0	90	1	6	1	1
500	1000	0	90	0	6	1	1
400	1000	0	90	1	6	1	1
475	1000	0	90	0	6	1	1
275	1000	0	180	1	6	1	1
550	1000	0	90	0	6	1	1
4500	10000	0	14	1	6	1	1
300	500	0	90	0	6	1	1
200	500	0	180	1	6	1	1
40	1000	0	1825	1	6	1	1
9000	10000	0	365	1	7	1	1
70	100	0	1825	0	7	1	1
9500	10000	0	1825	0	7	1	1
500	1000	0	730	1	7	1	1
325	500	0	730	0	7	1	1
8500	10000	0	1825	0	7	1	1
300	500	0	365	1	7	1	1
275	500	0	730	0	7	1	1
8000	10000	0	1825	1	7	1	1
250	500	0	730	0	7	1	1
60	100	0	90	1	7	1	1
65	100	0	90	1	7	1	1
20	100	0	730	1	7	1	1
7500	10000	0	1825	1	7	1	1
600	1000	0	730	1	7	1	1
450	1000	0	1825	1	7	1	1
475	1000	0	1825	1	7	1	1
550	1000	0	1825	0	7	1	1
9500	10000	0	730	0	7	1	1
500	1000	0	1825	0	7	1	1
425	1000	0	1825	0	7	1	1
650	1000	0	730	0	7	1	1
90	100	0	21	1	7	1	1
400	1000	0	1825	0	7	1	1
9000	10000	0	730	1	7	1	1
375	1000	0	1825	1	7	1	1
350	1000	0	1825	1	7	1	1
8500	10000	0	1825	1	7	1	1
325	1000	0	1825	1	7	1	1
9000	10000	0	1825	0	7	1	1
8000	10000	0	1825	1	7	1	1
700	1000	0	730	1	7	1	1
750	1000	0	730	1	7	1	1
600	1000	0	1825	0	7	1	1
800	1000	0	730	0	7	1	1
275	500	0	730	0	7	1	1
600	1000	0	730	1	7	1	1
450	1000	0	1825	0	7	1	1
475	1000	0	1825	0	7	1	1
325	500	0	365	1	7	1	1
9000	10000	0	365	0	8	1	1
375	10000	0	7	1	8	1	1
45	100	0	7	1	8	1	1
6000	10000	0	30	1	8	1	1
45	100	0	180	0	8	1	1
225	500	0	365	0	8	1	1
250	500	0	14	1	8	1	1
7000	10000	0	180	0	8	1	1
50	100	0	21	0	8	1	1
3500	10000	0	180	1	8	1	1
450	1000	0	90	1	8	1	1
475	1000	0	90	1	8	1	1
5500	10000	0	365	1	8	1	1
6000	10000	0	730	0	8	1	1
6500	10000	0	365	1	8	1	1
425	1000	0	180	0	8	1	1
40	100	0	21	1	8	1	1
225	500	0	90	0	8	1	1
8000	10000	0	180	0	8	1	1
2500	10000	0	1825	1	8	1	1
55	100	0	14	1	8	1	1
40	100	0	30	0	8	1	1
5	100	0	365	1	8	1	1
60	1000	0	1825	1	8	1	1
80	500	0	365	0	8	1	1
550	1000	0	90	1	8	1	1
10	100	0	180	1	8	1	1
400	1000	0	180	1	8	1	1
3000	10000	0	1825	1	8	1	1
7000	10000	0	365	0	8	1	1
250	1000	0	365	1	8	1	1
600	1000	0	90	0	8	1	1
350	500	0	30	0	8	1	1
45	500	0	730	1	8	1	1
450	1000	0	180	1	8	1	1
475	1000	0	180	1	8	1	1
500	1000	0	180	0	8	1	1
425	1000	0	180	1	8	1	1
550	1000	0	180	0	8	1	1
650	1000	0	90	0	8	1	1
8000	10000	0	1825	0	9	1	1
400	10000	0	7	1	9	1	1
50	100	0	7	1	9	1	1
8000	10000	0	14	1	9	1	1
55	100	0	90	0	9	1	1
6500	10000	0	365	1	9	1	1
300	1000	0	1825	0	9	1	1
275	500	0	30	0	9	1	1
275	500	0	14	1	9	1	1
250	500	0	30	1	9	1	1
5500	10000	0	1825	0	9	1	1
550	1000	0	90	1	9	1	1
5000	10000	0	1825	1	9	1	1
500	1000	0	365	1	9	1	1
8500	10000	0	365	1	9	1	1
7000	10000	0	1825	0	9	1	1
650	1000	0	365	1	9	1	1
425	1000	0	1825	1	9	1	1
550	1000	0	1825	1	9	1	1
8500	10000	0	1825	1	9	1	1
9500	10000	0	1825	0	9	1	1
9000	10000	0	1825	0	9	1	1
6000	10000	0	1825	0	9	1	1
800	1000	0	1825	0	9	1	1
700	1000	0	1825	0	9	1	1
500	1000	0	1825	0	9	1	1
600	1000	0	1825	0	9	1	1
475	1000	0	1825	0	9	1	1
350	1000	0	1825	1	9	1	1
450	1000	0	1825	0	9	1	1
400	1000	0	1825	0	9	1	1
325	1000	0	1825	0	9	1	1
375	1000	0	1825	0	9	1	1
5500	10000	0	1825	1	9	1	1
600	1000	0	365	1	9	1	1
300	1000	0	1825	0	9	1	1
700	1000	0	365	1	9	1	1
275	1000	0	1825	1	9	1	1
9000	10000	0	365	1	9	1	1
6500	10000	0	1825	1	9	1	1
9000	10000	0	365	1	10	1	1
70	100	0	1825	0	10	1	1
9500	10000	0	1825	0	10	1	1
500	1000	0	730	1	10	1	1
325	500	0	730	1	10	1	1
850	1000	0	1825	0	10	1	1
55	100	0	730	1	10	1	1
8500	10000	0	1825	1	10	1	1
55	100	0	1825	1	10	1	1
