A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	0
225	500	0	365	1
6000	10000	0	1825	0
250	500	0	365	0
250	500	0	90	1
7000	10000	0	180	1
400	1000	0	730	1
8500	10000	0	365	1
425	1000	0	730	1
450	1000	0	1825	0
5500	10000	0	1825	1
8000	10000	0	730	1
6500	10000	0	1825	0
450	1000	0	730	1
375	1000	0	1825	1
425	1000	0	1825	0
8000	10000	0	1825	0
550	1000	0	730	1
600	1000	0	730	1
650	1000	0	1825	0
9000	10000	0	365	1
7500	10000	0	1825	0
475	1000	0	1825	0
400	1000	0	1825	0
6000	10000	0	1825	0
7500	10000	0	730	1
350	1000	0	1825	0
500	1000	0	730	1
650	1000	0	730	1
500	1000	0	1825	0
700	1000	0	730	1
450	1000	0	1825	0
325	1000	0	1825	0
300	1000	0	1825	0
475	1000	0	730	1
275	1000	0	1825	1
