A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	1
50	100	0	365	1
475	500	0	1825	0
450	500	0	1825	0
85	100	0	60	1
50	100	0	1825	1
9000	10000	0	1825	1
400	500	0	1825	0
900	1000	0	1825	1
425	500	0	1825	1
60	100	0	1825	1
950	1000	0	1825	1
95	100	0	1825	0
85	100	0	1825	0
75	100	0	1825	1
90	100	0	1825	1
9500	10000	0	1825	1
80	100	0	1825	1
95	100	0	365	0
90	100	0	365	0
85	100	0	365	0
55	100	0	1825	1
70	100	0	1825	1
65	100	0	1825	1
95	100	0	1825	0
85	100	0	1825	1
75	100	0	1825	1
90	100	0	1825	0
225	500	0	1825	1
80	100	0	1825	1
60	100	0	1825	1
95	100	0	7	1
9500	10000	0	1825	1
5	100	0	1825	1
10	100	0	1825	1
15	100	0	1825	1
95	100	0	1825	0
85	100	0	1825	1
75	100	0	1825	1
