A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	0
50	100	0	90	1
5000	10000	0	1825	1
350	500	0	1825	0
650	1000	0	365	1
8500	10000	0	1825	0
75	100	0	365	0
7500	10000	0	1825	0
450	1000	0	1825	0
425	1000	0	1825	0
400	1000	0	1825	0
425	1000	0	365	1
400	500	0	180	1
7000	10000	0	1825	0
350	500	0	365	1
6500	10000	0	1825	0
7000	10000	0	365	1
750	1000	0	365	1
175	500	0	1825	0
375	1000	0	1825	0
85	100	0	90	1
65	100	0	365	1
8500	10000	0	365	1
5500	10000	0	1825	1
6000	10000	0	1825	0
350	1000	0	1825	0
325	1000	0	1825	0
700	1000	0	365	1
300	1000	0	1825	0
650	1000	0	365	1
275	1000	0	1825	1
375	1000	0	1825	1
750	1000	0	365	1
350	500	0	365	1
150	500	0	1825	1
400	1000	0	1825	0
850	1000	0	180	1
60	100	0	365	1
950	1000	0	60	0
