A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	0
500	1000	0	730	1
325	500	0	730	0
8500	10000	0	1825	0
300	500	0	365	1
275	500	0	730	0
8000	10000	0	1825	1
250	500	0	730	0
60	100	0	90	1
65	100	0	90	1
20	100	0	730	1
7500	10000	0	1825	1
600	1000	0	730	1
450	1000	0	1825	1
475	1000	0	1825	1
550	1000	0	1825	0
9500	10000	0	730	0
500	1000	0	1825	0
425	1000	0	1825	0
650	1000	0	730	0
90	100	0	21	1
400	1000	0	1825	0
9000	10000	0	730	1
375	1000	0	1825	1
350	1000	0	1825	1
8500	10000	0	1825	1
325	1000	0	1825	1
9000	10000	0	1825	0
8000	10000	0	1825	1
700	1000	0	730	1
750	1000	0	730	1
600	1000	0	1825	0
800	1000	0	730	0
275	500	0	730	0
600	1000	0	730	1
450	1000	0	1825	0
475	1000	0	1825	0
325	500	0	365	1
