A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	0
50	100	0	90	0
500	10000	0	7	1
250	500	0	21	0
4500	10000	0	365	0
400	10000	0	7	1
4500	10000	0	60	1
10	500	0	7	1
6500	10000	0	1825	0
125	500	0	7	0
3500	10000	0	365	0
5500	10000	0	90	0
3000	10000	0	180	1
325	1000	0	7	0
6500	10000	0	60	1
6000	10000	0	90	1
3000	10000	0	365	0
4000	10000	0	180	0
3500	10000	0	180	0
8500	10000	0	14	1
5000	10000	0	90	1
2000	10000	0	365	0
200	1000	0	7	0
150	1000	0	7	1
175	1000	0	7	1
75	1000	0	21	0
30	500	0	7	1
8000	10000	0	21	1
6000	10000	0	60	1
250	1000	0	7	0
3500	10000	0	180	0
7500	10000	0	30	0
5000	10000	0	90	0
8500	10000	0	14	0
3000	10000	0	180	0
4500	10000	0	90	0
6000	10000	0	30	1
5000	10000	0	21	0
4000	10000	0	14	0
