A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	0
225	500	0	365	1
6000	10000	0	1825	0
250	500	0	365	1
6000	10000	0	365	1
450	1000	0	1825	0
600	1000	0	730	1
550	1000	0	1825	0
3500	10000	0	1825	1
5000	10000	0	1825	1
5500	10000	0	1825	1
550	1000	0	730	1
8000	10000	0	730	1
8000	10000	0	1825	0
6500	10000	0	1825	1
8500	10000	0	1825	0
7000	10000	0	1825	1
7500	10000	0	1825	1
400	1000	0	1825	0
9000	10000	0	730	1
225	500	0	730	1
325	500	0	365	1
475	1000	0	1825	0
250	500	0	730	1
150	500	0	1825	1
500	1000	0	1825	1
600	1000	0	1825	1
650	1000	0	1825	1
9000	10000	0	1825	0
700	1000	0	1825	0
550	1000	0	1825	1
750	1000	0	1825	0
300	500	0	1825	0
450	1000	0	1825	1
275	500	0	1825	1
8000	10000	0	1825	1
