A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	1
250	500	0	1825	0
70	100	0	365	0
300	500	0	90	0
250	500	0	30	1
5500	10000	0	180	1
550	1000	0	180	1
4000	10000	0	1825	1
550	1000	0	365	0
5000	10000	0	1825	1
5500	10000	0	1825	1
6000	10000	0	1825	1
6500	10000	0	1825	0
500	1000	0	365	1
475	1000	0	365	1
8000	10000	0	730	0
600	1000	0	365	0
425	1000	0	730	1
400	1000	0	730	1
450	1000	0	730	1
650	1000	0	730	0
500	1000	0	730	0
475	1000	0	730	0
375	1000	0	730	1
650	1000	0	365	1
550	1000	0	730	0
700	1000	0	365	0
350	1000	0	730	1
250	1000	0	1825	1
275	1000	0	1825	1
275	500	0	365	1
800	1000	0	180	1
300	1000	0	1825	1
600	1000	0	730	0
6000	10000	0	1825	0
750	1000	0	365	0
