A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	0
225	500	0	365	0
325	500	0	7	0
275	500	0	7	1
6000	10000	0	180	0
500	1000	0	30	1
600	1000	0	30	1
5500	10000	0	90	1
550	1000	0	90	0
5500	10000	0	180	0
375	1000	0	90	0
4500	10000	0	180	0
6000	10000	0	90	0
4000	10000	0	180	0
325	1000	0	90	1
5000	10000	0	90	0
1500	10000	0	365	0
3500	10000	0	90	1
350	1000	0	90	1
400	1000	0	90	1
425	1000	0	90	1
4000	10000	0	90	1
225	500	0	90	0
700	1000	0	30	1
9000	10000	0	7	1
3500	10000	0	180	0
450	1000	0	90	1
500	1000	0	90	0
3000	10000	0	180	0
475	1000	0	90	1
550	1000	0	90	0
325	1000	0	180	1
350	1000	0	180	0
300	1000	0	180	1
750	1000	0	30	1
375	1000	0	180	0
