A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	0
50	100	0	90	1
5000	10000	0	1825	1
350	500	0	1825	1
9000	10000	0	1825	1
900	1000	0	1825	0
55	100	0	1825	1
85	100	0	1825	0
80	100	0	1825	0
75	100	0	1825	0
70	100	0	1825	0
7500	10000	0	1825	1
8500	10000	0	1825	1
9500	10000	0	1825	0
550	1000	0	1825	1
750	1000	0	1825	1
9000	10000	0	1825	1
475	500	0	1825	0
85	100	0	7	1
85	100	0	365	0
20	100	0	1825	1
35	100	0	1825	1
60	100	0	1825	1
850	1000	0	1825	1
900	1000	0	1825	1
9500	10000	0	1825	0
400	500	0	1825	1
425	500	0	1825	1
950	1000	0	1825	0
450	500	0	1825	1
475	500	0	1825	0
9000	10000	0	1825	1
80	100	0	1825	1
95	100	0	1825	0
90	100	0	1825	0
850	1000	0	1825	1
900	1000	0	1825	1
375	500	0	1825	1
400	500	0	1825	1
