A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	0
5000	10000	0	30	0
50	500	0	7	1
275	500	0	7	0
900	10000	0	21	1
15	100	0	7	1
225	1000	0	7	1
700	10000	0	90	1
10	100	0	30	1
6500	10000	0	7	0
800	10000	0	90	1
425	1000	0	7	0
350	1000	0	7	1
400	1000	0	7	1
450	1000	0	7	0
5000	10000	0	7	0
2500	10000	0	21	1
3500	10000	0	14	1
6000	10000	0	7	0
2500	10000	0	30	1
200	1000	0	21	1
275	1000	0	14	1
550	1000	0	7	1
475	1000	0	14	1
475	1000	0	21	1
500	1000	0	21	0
550	1000	0	14	1
425	1000	0	30	1
425	1000	0	90	1
500	1000	0	90	0
400	1000	0	90	1
475	1000	0	90	0
275	1000	0	180	1
550	1000	0	90	0
4500	10000	0	14	1
300	500	0	90	0
200	500	0	180	1
40	1000	0	1825	1
