A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	1
50	100	0	365	0
60	100	0	7	1
375	500	0	1825	0
70	100	0	7	1
800	1000	0	1825	0
60	100	0	21	1
700	1000	0	1825	0
50	100	0	180	1
40	100	0	365	1
650	1000	0	1825	0
9000	10000	0	1825	1
375	500	0	180	1
9500	10000	0	1825	0
5500	10000	0	1825	1
400	500	0	365	1
600	1000	0	1825	0
225	500	0	1825	0
375	500	0	365	1
200	500	0	1825	0
75	100	0	90	1
550	1000	0	1825	0
7000	10000	0	1825	0
5000	10000	0	1825	1
6500	10000	0	1825	1
7500	10000	0	1825	1
8000	10000	0	1825	0
9500	10000	0	365	1
8500	10000	0	1825	0
25	100	0	1825	0
9000	10000	0	1825	0
55	100	0	365	1
200	500	0	1825	0
375	500	0	365	1
7000	10000	0	1825	0
9000	10000	0	365	0
6000	10000	0	1825	0
5000	10000	0	1825	1
6500	10000	0	1825	0
