A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	0
5000	10000	0	30	0
50	500	0	7	1
275	500	0	7	0
2500	10000	0	7	1
15	100	0	7	1
225	1000	0	7	1
700	10000	0	90	1
10	100	0	30	0
800	10000	0	180	0
125	10000	0	730	0
400	1000	0	7	1
425	1000	0	7	1
600	1000	0	7	0
6000	10000	0	7	0
450	1000	0	7	1
2500	10000	0	30	0
550	1000	0	7	0
475	1000	0	7	0
800	10000	0	90	0
2000	10000	0	30	0
4500	10000	0	7	1
500	1000	0	7	1
5000	10000	0	7	0
250	500	0	7	0
175	1000	0	30	0
225	500	0	7	0
80	500	0	30	1
375	1000	0	7	0
350	1000	0	7	1
325	1000	0	7	0
300	1000	0	7	1
1500	10000	0	30	1
400	1000	0	7	0
425	1000	0	7	0
275	1000	0	7	0
250	1000	0	7	0
225	1000	0	7	0
