A	B	DA	DB	R
8000	10000	0	365	0
35	10000	0	7	1
3500	10000	0	21	1
50	100	0	14	0
100	500	0	7	1
3500	10000	0	1825	0
225	500	0	7	0
6000	10000	0	30	1
375	1000	0	7	1
4000	10000	0	365	0
7000	10000	0	30	1
4500	10000	0	90	0
75	500	0	14	1
5000	10000	0	60	1
400	1000	0	14	1
325	1000	0	30	1
475	1000	0	60	0
5500	10000	0	90	0
3500	10000	0	180	0
5000	10000	0	90	0
5500	10000	0	60	1
6000	10000	0	60	1
7500	10000	0	30	1
350	1000	0	60	1
350	1000	0	365	0
6500	10000	0	60	1
4000	10000	0	180	0
275	1000	0	90	0
35	100	0	14	1
5500	10000	0	90	0
450	1000	0	90	0
425	1000	0	30	1
450	1000	0	60	1
3500	10000	0	180	0
500	1000	0	60	1
550	1000	0	60	0
425	1000	0	90	0
400	1000	0	60	1
400	1000	0	90	0
250	1000	0	180	0
650	1000	0	30	1
