A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	0
500	1000	0	730	1
325	500	0	730	0
8500	10000	0	1825	0
300	500	0	365	0
500	1000	0	365	1
8000	10000	0	1825	0
9000	10000	0	730	1
9500	10000	0	365	1
300	1000	0	1825	1
700	1000	0	365	1
400	1000	0	1825	1
500	1000	0	1825	1
600	1000	0	1825	0
550	1000	0	1825	1
650	1000	0	1825	0
9000	10000	0	1825	0
475	1000	0	1825	1
250	500	0	1825	0
750	1000	0	730	1
350	500	0	730	0
700	1000	0	1825	0
9500	10000	0	730	0
800	1000	0	730	0
225	500	0	1825	0
8500	10000	0	1825	1
35	100	0	730	1
55	100	0	365	1
40	100	0	730	1
60	100	0	365	1
95	100	0	30	0
75	100	0	180	1
450	500	0	180	1
8000	10000	0	1825	0
9500	10000	0	365	1
65	100	0	365	1
550	1000	0	1825	1
80	100	0	180	1
