A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	1
200	500	0	1825	1
950	1000	0	1825	1
40	100	0	1825	1
75	100	0	1825	0
80	100	0	1825	0
475	500	0	1825	1
65	100	0	1825	1
85	100	0	730	0
95	100	0	180	0
60	100	0	1825	1
85	100	0	1825	1
90	100	0	1825	0
95	100	0	1825	0
90	100	0	730	0
95	100	0	730	0
95	100	0	365	0
90	100	0	365	0
80	100	0	730	1
95	100	0	90	1
95	100	0	30	1
70	100	0	1825	1
95	100	0	7	1
55	100	0	1825	1
95	100	0	21	1
95	100	0	14	1
75	100	0	1825	1
80	100	0	1825	1
9500	10000	0	1825	1
30	100	0	1825	1
40	100	0	1825	1
50	100	0	1825	1
65	100	0	1825	1
85	100	0	1825	1
90	100	0	1825	1
60	100	0	1825	1
95	100	0	1825	0
45	100	0	1825	1
