A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	0
225	500	0	365	0
250	500	0	14	1
7000	10000	0	180	0
50	100	0	21	0
3500	10000	0	180	1
450	1000	0	90	1
475	1000	0	90	1
5500	10000	0	365	1
6000	10000	0	730	0
6500	10000	0	365	1
425	1000	0	180	1
6500	10000	0	730	0
475	1000	0	180	1
450	1000	0	365	1
500	1000	0	365	1
500	1000	0	730	0
550	1000	0	365	0
5000	10000	0	730	1
5500	10000	0	730	1
3500	10000	0	1825	0
475	1000	0	365	1
350	1000	0	730	1
600	1000	0	365	0
375	1000	0	730	1
400	1000	0	730	0
425	1000	0	730	1
450	1000	0	730	0
475	1000	0	730	0
325	1000	0	730	1
7000	10000	0	365	0
3000	10000	0	1825	1
650	1000	0	365	0
700	1000	0	180	0
300	1000	0	730	1
750	1000	0	180	0
