A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	0
500	1000	0	730	1
325	500	0	730	0
8500	10000	0	1825	0
300	500	0	365	0
500	1000	0	365	1
8000	10000	0	1825	0
9000	10000	0	730	0
7500	10000	0	1825	1
700	1000	0	365	1
325	1000	0	1825	1
350	1000	0	1825	1
500	1000	0	1825	0
400	1000	0	1825	1
425	1000	0	1825	1
475	1000	0	1825	0
450	1000	0	1825	0
7000	10000	0	1825	1
275	500	0	730	1
65	100	0	180	1
50	100	0	365	0
650	1000	0	730	0
375	1000	0	1825	0
600	1000	0	730	0
550	1000	0	730	0
500	1000	0	730	0
475	1000	0	730	0
450	1000	0	730	0
425	1000	0	730	0
400	1000	0	730	1
375	1000	0	730	1
350	1000	0	730	1
7500	10000	0	1825	1
600	1000	0	365	0
550	1000	0	365	0
325	1000	0	730	1
500	1000	0	365	1
650	1000	0	365	1
