A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	0
50	100	0	30	1
250	500	0	180	0
4000	10000	0	7	1
200	500	0	90	0
475	1000	0	14	0
400	1000	0	7	1
4500	10000	0	7	1
550	1000	0	7	1
5500	10000	0	7	1
475	1000	0	21	0
6500	10000	0	7	1
4500	10000	0	30	1
5500	10000	0	30	1
7500	10000	0	14	0
6500	10000	0	21	0
450	1000	0	14	1
500	1000	0	14	1
550	1000	0	14	0
400	1000	0	21	0
425	1000	0	14	0
400	1000	0	14	1
7000	10000	0	14	1
650	1000	0	7	1
425	1000	0	21	1
450	1000	0	21	0
375	1000	0	21	1
475	1000	0	14	1
600	1000	0	14	1
500	1000	0	21	1
550	1000	0	21	1
650	1000	0	14	1
600	1000	0	21	1
500	1000	0	30	1
550	1000	0	30	1
650	1000	0	21	1
300	1000	0	90	0
