A	B	DA	DB	R
8000	10000	0	365	0
35	10000	0	7	1
3500	10000	0	21	1
50	100	0	14	1
9500	10000	0	1825	0
300	500	0	365	0
5000	10000	0	14	1
275	500	0	21	1
4500	10000	0	180	1
450	1000	0	180	1
650	1000	0	365	0
4000	10000	0	365	1
4000	10000	0	1825	0
200	500	0	180	0
2500	10000	0	1825	0
6000	10000	0	365	0
475	1000	0	365	0
8500	10000	0	90	0
475	1000	0	90	1
475	1000	0	180	0
4500	10000	0	365	0
425	1000	0	180	0
650	1000	0	60	1
175	500	0	180	0
6500	10000	0	180	0
400	1000	0	180	0
550	1000	0	90	1
6000	10000	0	180	0
100	500	0	365	0
250	500	0	90	1
300	500	0	60	0
9500	10000	0	14	1
7500	10000	0	90	1
95	500	0	365	0
40	100	0	60	1
375	500	0	30	0
60	1000	0	1825	0
650	1000	0	60	1
45	100	0	60	1
6000	10000	0	180	1
4500	10000	0	365	0
