A	B	DA	DB	R
8000	10000	0	1825	0
400	10000	0	7	1
50	100	0	7	1
8000	10000	0	14	1
55	100	0	90	0
6500	10000	0	365	1
300	1000	0	1825	0
275	500	0	30	0
275	500	0	14	1
250	500	0	30	1
5500	10000	0	1825	0
550	1000	0	90	1
5000	10000	0	1825	1
500	1000	0	365	1
8500	10000	0	365	1
7000	10000	0	1825	0
650	1000	0	365	1
425	1000	0	1825	1
550	1000	0	1825	1
8500	10000	0	1825	1
9500	10000	0	1825	0
9000	10000	0	1825	0
6000	10000	0	1825	0
800	1000	0	1825	0
700	1000	0	1825	0
500	1000	0	1825	0
600	1000	0	1825	0
475	1000	0	1825	0
350	1000	0	1825	1
450	1000	0	1825	0
400	1000	0	1825	0
325	1000	0	1825	0
375	1000	0	1825	0
5500	10000	0	1825	1
600	1000	0	365	1
300	1000	0	1825	0
700	1000	0	365	1
275	1000	0	1825	1
9000	10000	0	365	1
6500	10000	0	1825	1
