A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	0
50	100	0	90	1
5000	10000	0	1825	0
5500	10000	0	365	1
375	500	0	1825	0
4500	10000	0	1825	1
8500	10000	0	365	1
6000	10000	0	1825	1
500	1000	0	365	1
9000	10000	0	1825	0
375	1000	0	1825	0
7000	10000	0	1825	0
275	1000	0	1825	0
300	1000	0	1825	0
400	500	0	90	0
475	1000	0	180	1
325	500	0	180	1
6500	10000	0	1825	1
425	500	0	60	1
90	500	0	1825	0
70	100	0	30	1
40	100	0	180	1
9000	10000	0	365	0
6000	10000	0	1825	1
9500	10000	0	180	1
250	500	0	365	1
85	500	0	1825	0
400	500	0	90	1
650	1000	0	365	1
95	500	0	1825	0
65	100	0	60	1
90	500	0	1825	0
55	100	0	90	1
60	100	0	90	1
70	100	0	60	0
275	1000	0	1825	1
350	500	0	180	1
6500	10000	0	1825	1
300	1000	0	1825	0
