A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	0
225	500	0	365	0
250	500	0	14	1
7000	10000	0	180	0
50	100	0	21	0
3500	10000	0	180	1
450	1000	0	90	1
475	1000	0	90	1
5500	10000	0	365	1
6000	10000	0	730	0
6500	10000	0	365	1
425	1000	0	180	0
40	100	0	21	1
225	500	0	90	0
8000	10000	0	180	0
2500	10000	0	1825	1
55	100	0	14	1
40	100	0	30	0
5	100	0	365	1
60	1000	0	1825	1
80	500	0	365	0
550	1000	0	90	1
10	100	0	180	1
400	1000	0	180	1
3000	10000	0	1825	1
7000	10000	0	365	0
250	1000	0	365	1
600	1000	0	90	0
350	500	0	30	0
45	500	0	730	1
450	1000	0	180	1
475	1000	0	180	1
500	1000	0	180	0
425	1000	0	180	1
550	1000	0	180	0
650	1000	0	90	0
