A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	1
475	500	0	1825	1
65	100	0	1825	1
9500	10000	0	1825	1
95	100	0	1825	0
90	100	0	1825	0
85	100	0	1825	0
75	100	0	1825	0
70	100	0	1825	0
85	100	0	365	1
60	100	0	1825	0
90	100	0	180	1
90	100	0	365	1
80	100	0	1825	0
65	100	0	1825	0
55	100	0	1825	0
85	100	0	180	1
90	100	0	1825	0
95	100	0	90	1
75	100	0	1825	0
95	100	0	60	1
85	100	0	365	1
60	100	0	1825	0
95	100	0	180	1
90	100	0	365	1
70	100	0	1825	0
65	100	0	1825	0
55	100	0	1825	0
475	500	0	1825	0
900	1000	0	1825	1
80	100	0	1825	0
75	100	0	1825	0
950	1000	0	1825	1
85	100	0	365	1
60	100	0	1825	0
95	100	0	180	1
90	100	0	365	1
70	100	0	1825	0
95	100	0	90	1
55	100	0	1825	0
