A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	1
475	500	0	1825	0
35	100	0	1825	0
9500	10000	0	1825	0
9000	10000	0	1825	0
850	10000	0	365	1
225	500	0	30	1
500	1000	0	1825	1
8500	10000	0	1825	0
7500	10000	0	1825	1
8000	10000	0	1825	0
7000	10000	0	1825	1
650	1000	0	1825	0
325	1000	0	1825	1
9500	10000	0	365	1
9500	10000	0	1825	0
9000	10000	0	1825	0
350	1000	0	180	1
95	100	0	1825	0
700	1000	0	1825	0
8500	10000	0	1825	1
250	500	0	1825	1
8000	10000	0	1825	1
450	1000	0	1825	1
475	1000	0	1825	1
800	1000	0	1825	0
650	1000	0	1825	1
9500	10000	0	365	0
750	1000	0	1825	1
850	1000	0	1825	1
9000	10000	0	1825	0
700	1000	0	1825	1
8500	10000	0	1825	0
7500	10000	0	1825	1
8000	10000	0	1825	0
9500	10000	0	1825	0
7000	10000	0	1825	1
9500	10000	0	180	1
9000	10000	0	365	1
9500	10000	0	365	1
