A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	0
500	1000	0	730	1
325	500	0	730	1
850	1000	0	1825	0
55	100	0	730	1
8500	10000	0	1825	1
55	100	0	1825	1
9000	10000	0	1825	1
375	500	0	1825	0
350	500	0	1825	0
700	1000	0	1825	1
750	1000	0	1825	1
800	1000	0	1825	1
900	1000	0	1825	0
950	1000	0	1825	0
325	500	0	1825	1
400	500	0	1825	0
75	100	0	730	1
60	100	0	1825	1
80	100	0	730	0
425	500	0	1825	1
450	500	0	1825	0
9500	10000	0	1825	0
475	500	0	1825	0
300	500	0	1825	1
850	1000	0	1825	1
9500	10000	0	730	1
275	500	0	1825	1
950	1000	0	730	1
9000	10000	0	1825	1
375	500	0	1825	0
350	500	0	1825	1
475	500	0	730	0
750	1000	0	1825	1
800	1000	0	1825	1
900	1000	0	1825	0
950	1000	0	1825	0
325	500	0	1825	0
