A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	0
500	1000	0	730	1
325	500	0	730	1
850	1000	0	1825	0
55	100	0	730	1
8500	10000	0	1825	1
55	100	0	1825	0
9000	10000	0	1825	1
65	100	0	730	0
85	100	0	180	0
700	1000	0	1825	0
275	500	0	1825	1
70	100	0	365	1
850	1000	0	730	1
300	500	0	1825	1
325	500	0	1825	0
750	1000	0	1825	0
400	500	0	730	0
35	100	0	1825	1
50	100	0	730	1
75	100	0	365	1
60	100	0	730	1
375	500	0	730	1
40	100	0	1825	1
9500	10000	0	730	1
650	1000	0	1825	1
9500	10000	0	1825	0
350	500	0	1825	0
450	500	0	365	1
9000	10000	0	1825	1
475	500	0	180	0
85	100	0	180	0
700	1000	0	1825	1
800	1000	0	1825	0
275	500	0	1825	1
55	100	0	730	1
300	500	0	1825	1
325	500	0	1825	1
