A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	0
5000	10000	0	30	1
350	1000	0	180	0
125	500	0	7	1
5000	10000	0	365	0
225	500	0	7	0
400	1000	0	7	1
3000	10000	0	180	1
5000	10000	0	180	0
200	500	0	7	0
4000	10000	0	180	0
550	1000	0	7	1
225	1000	0	30	1
300	1000	0	21	1
400	1000	0	14	1
325	1000	0	21	1
475	1000	0	14	1
475	1000	0	21	1
500	1000	0	30	0
550	1000	0	21	0
450	1000	0	21	0
5000	10000	0	90	0
8000	10000	0	21	0
4500	10000	0	90	0
6500	10000	0	30	1
550	1000	0	14	1
500	1000	0	21	0
7000	10000	0	30	0
425	1000	0	21	0
7500	10000	0	21	0
7000	10000	0	21	0
6000	10000	0	30	0
5500	10000	0	30	1
7500	10000	0	14	1
500	1000	0	14	1
600	1000	0	14	0
3500	10000	0	90	1
8000	10000	0	14	0
