A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	0
5000	10000	0	30	0
50	500	0	7	1
275	500	0	7	0
2500	10000	0	7	0
100	1000	0	7	1
20	100	0	7	1
275	10000	0	30	1
225	1000	0	7	1
350	1000	0	7	1
3500	10000	0	7	1
2000	10000	0	30	0
225	10000	0	180	1
5000	10000	0	7	1
375	1000	0	7	1
400	1000	0	7	1
600	10000	0	180	1
7500	10000	0	7	0
800	10000	0	180	1
475	1000	0	7	0
3500	10000	0	30	0
1500	10000	0	90	1
425	10000	0	365	0
65	500	0	30	0
60	1000	0	90	1
25	100	0	7	1
200	500	0	7	1
175	1000	0	30	1
500	1000	0	7	1
550	1000	0	7	0
225	500	0	7	0
7000	10000	0	7	0
75	500	0	30	1
250	500	0	7	1
225	1000	0	30	1
600	1000	0	7	0
40	500	0	90	0
200	1000	0	30	0
