A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	0
500	1000	0	730	1
325	500	0	730	0
8500	10000	0	1825	0
300	500	0	365	1
275	500	0	730	1
8000	10000	0	1825	0
7000	10000	0	1825	1
550	1000	0	1825	1
650	1000	0	1825	1
750	1000	0	1825	0
700	1000	0	1825	1
800	1000	0	1825	1
850	1000	0	1825	0
900	1000	0	1825	0
375	500	0	1825	0
7500	10000	0	1825	1
350	500	0	1825	1
400	500	0	1825	0
425	500	0	1825	0
9000	10000	0	730	1
65	100	0	1825	1
95	100	0	180	1
85	100	0	730	0
9500	10000	0	365	1
900	1000	0	730	0
325	500	0	1825	0
600	1000	0	1825	0
8000	10000	0	1825	0
500	1000	0	1825	1
550	1000	0	1825	1
650	1000	0	1825	1
750	1000	0	1825	0
700	1000	0	1825	1
800	1000	0	1825	0
850	1000	0	730	1
425	500	0	730	1
60	100	0	1825	1
