A	B	DA	DB	R
9000	10000	0	365	0
375	10000	0	7	1
45	100	0	7	1
6000	10000	0	30	1
45	100	0	180	1
250	500	0	1825	0
70	100	0	365	0
300	500	0	90	1
4000	10000	0	730	1
50	100	0	365	0
9000	10000	0	180	1
550	1000	0	730	0
175	500	0	730	0
600	1000	0	365	0
4000	10000	0	1825	1
475	1000	0	365	1
7500	10000	0	730	0
5000	10000	0	1825	1
8500	10000	0	365	0
400	1000	0	730	0
350	1000	0	730	1
550	1000	0	365	1
150	500	0	730	0
225	500	0	365	0
375	1000	0	730	1
200	1000	0	1825	1
70	500	0	1825	0
425	1000	0	730	1
450	1000	0	730	1
475	1000	0	730	1
500	1000	0	730	1
650	1000	0	365	1
700	1000	0	365	0
550	1000	0	730	0
275	1000	0	1825	1
600	1000	0	730	1
650	1000	0	730	1
375	1000	0	1825	1
350	1000	0	1825	1
400	1000	0	1825	1
