A	B	DA	DB	R
8000	10000	0	365	1
950	1000	0	1825	0
9500	10000	0	1825	0
50	100	0	90	1
5000	10000	0	1825	0
5500	10000	0	365	1
375	500	0	1825	0
4500	10000	0	1825	1
8500	10000	0	365	1
6000	10000	0	1825	0
5500	10000	0	1825	1
6500	10000	0	1825	0
425	1000	0	1825	0
550	1000	0	180	1
350	1000	0	1825	0
9000	10000	0	365	0
475	1000	0	90	1
375	1000	0	1825	1
600	1000	0	1825	0
250	1000	0	1825	1
650	1000	0	365	0
600	1000	0	365	1
5500	10000	0	1825	1
750	1000	0	180	1
275	500	0	365	1
275	1000	0	1825	1
400	1000	0	1825	0
350	1000	0	1825	0
100	500	0	1825	0
800	1000	0	180	0
95	500	0	1825	1
35	100	0	365	1
650	1000	0	365	0
70	100	0	90	1
55	100	0	180	0
425	500	0	90	0
275	500	0	365	1
275	1000	0	1825	1
40	100	0	365	1
300	1000	0	1825	1
60	100	0	180	1
