Row,m_median,c_median,alpha_median,epsilon_median,ppScore,percentPredicted,warning_percent_predicted,logk100,logk500,logk1000
01,-0.2539395,-7.914385,26.9685,0.0498926,15.1903819029691,0.829268292682927,0,-9.08381961444472,-9.49251947320928,-9.66853692166708
02,-0.4577875,-4.926195,96.9693,0.1639215,6.58857132629026,0.725,0,-7.03438434651802,-7.77116490485645,-8.08847901977703
03,-0.7182675,-6.800535,29.09245,0.06865565,7.98751582823267,0.725,0,-10.1082790765642,-11.2642860223335,-11.7621511148463
04,-0.4116855,-4.09523,120.66,0.1107555,8.0750006811735,0.725,0,-5.9911117906036,-6.65369404230299,-6.9390526859054
05,-0.562838,-6.975165,30.93595,0.0846697,8.89911690432321,0.780487804878049,0,-9.56712977714117,-10.4729825928997,-10.8631121657117
06,-0.3252205,-3.075915,99.02065,0.22713,3.69995055177972,0.675,0,-4.57361075047214,-5.09703295307292,-5.32245862570821
07,-0.7983125,-1.76165,85.95835,0.09451275,8.69368866076945,0.75,0,-5.43801492410162,-6.72284932757167,-7.27619738615243
08,-0.570491,-1.366245,97.5017,0.151502,5.6338536495638,0.7,0,-3.99345314457453,-4.91162298867697,-5.3070572168618
09,-0.5629915,-2.95542,101.3545,0.1740685,6.06355838528276,0.725,0,-5.54809167076471,-6.45419153524286,-6.84442750614707
10,-0.483308,-5.69843,65.8154,0.06713365,10.3822035036339,0.8,0,-7.92414559224953,-8.70199981083223,-9.0370033883743
11,0.07555925,-4.94103,69.5901,0.113274,10.0893125897684,0.8,0,-4.59306679462438,-4.47145887303929,-4.41908519193657
12,-0.6844735,-1.92744,84.19485,0.109752,7.40740365152186,0.731707317073171,0,-5.07955695529892,-6.18117455625538,-6.65561543294838
13,-0.5920675,-4.42694,20.86115,0.0667431,12.2572638333919,0.825,0,-7.1535115990925,-8.10640748031258,-8.51679739863876
14,-0.1267545,-3.34911,86.39385,0.177523,6.58728961090581,0.725,0,-3.93283604433983,-4.13683954221146,-4.22469906650974
15,-0.5856075,-7.662655,34.1514,0.0612593,11.7725176984276,0.8,0,-10.359477199691,-11.3019761119968,-11.7078882995365
16,-0.3742685,-2.177735,71.87945,0.0648646,13.2019101458234,0.804878048780488,0,-3.90130513775448,-4.50366705108433,-4.76309020663173
17,-0.4665535,-5.207915,59.5363,0.0694985,10.9336680696463,0.8,0,-7.3564732683684,-8.10736215944722,-8.43075240255259
18,-0.522126,-3.04369,84.4479,0.101344,10.0829449793886,0.825,0,-5.44816908852922,-6.28849846799679,-6.65040863279383
19,-0.3572475,-4.686945,147.667,0.1517165,4.47744868418576,0.65,0,-6.33213053601878,-6.90709820664108,-7.15472330402817
20,-0.332688,-3.73363,69.2283,0.100202,11.0585813989824,0.8,0,-5.26571485883601,-5.80115553904788,-6.03175728825401
21,0.02560025,-1.88784,91.45675,0.128506,9.86643627282384,0.804878048780488,0,-1.76994649194616,-1.72874447902837,-1.71099973791924
22,-0.2255575,-6.788535,82.72565,0.1023265,9.34781072281156,0.725,0,-7.82726567422601,-8.19028646615986,-8.34663101133901
23,-0.8914285,-3.66954,40.566,0.1124675,4.45864925341574,0.682926829268293,1,-7.77471995114009,-9.20941877526435,-9.82730992671013
24,-0.250744,-2.166865,108.9205,0.1290715,8.95492608269708,0.75609756097561,0,-3.3215837931154,-3.72514069303077,-3.8989431896731
25,-0.385295,-0.266447,109.4665,0.135996,8.59791869812326,0.75,0,-2.04079604681028,-2.66090442728158,-2.92797057021542
26,-0.3046445,-6.164675,138.1165,0.115487,9.81951118464216,0.75609756097561,0,-7.56761476872525,-8.05792117683978,-8.26908465308787
27,-0.742785,-1.792925,144.5755,0.139488,4.58022693656567,0.65,0,-5.21357633659917,-6.40904267638653,-6.92390200489875
28,-0.234324,-0.5972815,82.69955,0.1455685,6.51810244393649,0.725,0,-1.67638339866147,-2.05351332805468,-2.21593434799221
29,-0.232364,0.3180565,140.6455,0.10792,6.75644957255738,0.725,0,-0.752019265096937,-1.12599469618177,-1.28705714764541
30,-0.482298,-4.43121,35.1517,0.1172475,9.30693513987697,0.775,0,-6.65227437036168,-7.42850305665283,-7.76280655554253
31,-0.373371,-4.377845,80.8628,0.0688386,10.6639296764404,0.731707317073171,0,-6.09728199751256,-6.69819944031599,-6.95700049626884
32,-0.1112055,0.0415778,52.12605,0.237341,3.64527934075454,0.707317073170732,0,-0.470542453117899,-0.649520800889089,-0.726602579676848
33,-0.3256245,-4.854,44.10365,0.172509,6.49030746121821,0.75609756097561,0,-6.35355623922728,-6.87762865474468,-7.10333435884092
34,-0.9506735,-3.263415,3.89677,0.0667175,16.9058563720124,0.9,0,-7.64142825880895,-9.17147823205537,-9.83043488821342
35,-0.468666,-3.50599,78.0278,0.0963688,9.2407193085877,0.75609756097561,0,-5.66427669038629,-6.41856551905513,-6.74342003557944
GROUP,-0.425221,-3.757005,78.21655,0.112292,NaN,NaN,NaN,-5.71522007165604,-6.39958687021918,-6.69432760748406
