Row	m_mode	c_mode	alpha_mode	epsilon_mode	ppScore	percentPredicted	warning_percent_predicted
01	-0.245154889736071	-7.90339148973607	21.7271284358358	0.0236738130208299	15.1573459214682	0.829268292682927	0
02	-0.454330914956012	-4.87508954545454	60.5955747290352	0.147686250284458	6.59606549594751	0.725	0
03	-0.710034569208211	-6.47926799120235	21.2157705554132	0.0443115767743871	7.99628127370654	0.7	0
04	-0.409124363636364	-4.14787812903226	99.0212064900727	0.0894882742751114	8.07040618497908	0.75	0
05	-0.517026490029325	-7.13014820234604	11.8596138214516	0.0626683417872434	8.93298919159262	0.780487804878049	0
06	-0.342693438416422	-2.95896134310851	47.3865286919992	0.213671767348974	3.69844049191914	0.675	0
07	-0.813650785337243	-1.61341736950147	70.5046143730419	0.0795684821188769	8.50378762301913	0.725	0
08	-0.668160653665689	-0.446627557184751	55.101378132346	0.121450963431085	5.61515069749709	0.7	0
09	-0.57122575542522	-3.03599070381232	72.6534722555278	0.149505649492669	6.09516227067673	0.725	0
10	-0.491816741319648	-5.64974474193548	54.7832046605484	0.0365158403357361	10.3611641389345	0.8	0
11	0.089533384164223	-5.10991824926686	25.7836716317185	0.105966846797361	9.95493264170556	0.825	0
12	-0.714056851319648	-1.61493724633431	14.1446084915114	0.0913960311439883	7.33372309973346	0.731707317073171	0
13	-0.582892114076246	-4.45278446392962	9.5870576018997	0.055260245091571	12.252633390198	0.825	0
14	0.0222542873900293	-3.88055607917888	14.447586892629	0.174409992747301	6.59357060696255	0.725	0
15	-0.53797621143695	-7.72959952052786	27.9223949825806	0.0328643390426979	11.7405496446742	0.85	0
16	-0.379881392961877	-2.11477412316716	3.94222911709679	0.045249018911393	13.184120166647	0.804878048780488	0
17	-0.46590944941349	-5.22726906451613	51.064979256173	0.0388221927312933	10.9690096179283	0.825	0
18	-0.534042799706745	-3.00194794721408	18.4132555535924	0.0855472466640176	10.0937323955795	0.825	0
19	-0.344157041348974	-4.46177603812317	135.807502459217	0.100740291969208	4.48925209616697	0.625	0
20	-0.345348784457478	-3.66451979472141	47.3758377423868	0.0870941881774194	11.0063282104898	0.8	0
21	0.0271340812316715	-1.96429542815249	72.8344260509355	0.117317423876833	9.77318524810998	0.804878048780488	0
22	-0.144942807917888	-7.55507982111437	0.613660842096479	0.0942100762527273	9.30303072218366	0.675	0
23	-0.775326751026393	-2.85649958064516	10.8993978743809	0.0714127609643226	4.42644172571693	0.75609756097561	1
24	-0.252787815542522	-2.20846950733138	72.0984907192082	0.119901581167742	8.95565749765906	0.75609756097561	0
25	-0.432689258064516	0.12199264516129	73.5499609757243	0.119571794187683	8.62503048586991	0.775	0
26	-0.325142705278592	-6.02500448152493	118.585824643161	0.107446487320771	9.83193641476338	0.75609756097561	0
27	-0.830015541055718	-1.43676212903226	123.354239066258	0.101925202793255	4.62635081128431	0.675	0
28	-0.276405113782991	-0.208752774193547	47.2771264409853	0.122664916372434	6.59056460743336	0.75	0
29	-0.24386704398827	0.349393035190616	131.111884173226	0.0802068908771848	6.76291509946154	0.725	0
30	-0.484941083284458	-4.42851824046921	1.73690079044331	0.101967704231085	9.27504316640881	0.75	0
31	-0.363370476539589	-4.45745821055718	58.65750758	0.0353207068822493	10.6458892536037	0.682926829268293	0
32	-0.13180584457478	0.0679262140762464	2.02899315359824	0.22079376973607	3.64955908182089	0.707317073170732	0
33	-0.285578368621701	-5.25142774193548	17.1023336618144	0.153163952961877	6.44980765904895	0.75609756097561	0
34	-0.960119999266862	-3.14204610557185	2.12689056424728	0.0608364021431085	16.8965591287094	0.9	0
35	-0.480769304985337	-3.55846612903226	60.4968874343108	0.0755616195381232	9.18949864050036	0.804878048780488	0
GROUP	-0.428962346041056	-3.99677639296188	33.1997489469003	0.0960411984525806	NaN	NaN	NaN
